Period,March 7, 2024 - October 9, 2024,
,
Time,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Bourke Street & Lachlan Street,Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
2024-05-21 00:00:00,,,,,,,,,,,,1006,1881,,,,,,,,,,,
2024-05-22 00:00:00,,,,,,,,,,,,1252,2146,,,,,,,,,,,
2024-05-23 00:00:00,,,,,,,,,,,,978,2284,,,,,,,,,,,
2024-05-24 00:00:00,,,,,,,,,,,,1240,1994,,,,,,,,,,,
2024-05-25 00:00:00,,,,,,,,,,,,765,2019,,,,,,,,,,,
2024-05-26 00:00:00,,,,,,,,,,,,770,2366,,,,,,,,,,,
2024-05-27 00:00:00,,,,,,9,,,,,,162,128,,,,,,,12203,,,,
2024-05-28 00:00:00,,,,,,32,,,,,,,,,,,,,,1659,,,,
2024-05-29 00:00:00,,,,,,32,,,,,,,,,,,,,,299,,,,
2024-05-30 00:00:00,,,,,,36,,,,,,,,,,,,,,257,,,,
2024-05-31 00:00:00,,,,,,26,,,,,,,,,,,,,,289,,,,
2024-06-01 00:00:00,,,,,,8,,,,,,,,,,,,,,181,,,,
2024-06-02 00:00:00,,,,,,23,,,,,,,,,,,,,,259,,,,
2024-06-03 00:00:00,,,,,,24,,,,,,,,,,,,,,398,,,,
2024-06-04 00:00:00,,4930,2994,,,21,,,,,,,,,,,,,,133,,,,
2024-06-05 00:00:00,,5699,3562,,,,,,,,,,,,,,,,,,,,,
2024-06-06 00:00:00,,4783,3252,,,,,,,,,,,,,,,,,,,,,
2024-06-07 00:00:00,,5550,4250,,,,,,,,,,,,,,,,,,,,,
2024-06-08 00:00:00,,4939,4532,,,,,,,,,,,,,,,,,,,,,
2024-06-09 00:00:00,,5162,4182,,,,,,,,,,,,,,,,,,,,,
2024-06-10 00:00:00,,4353,3905,,,,,,,,,,,,,,,,,,,,,
2024-06-11 00:00:00,,428,301,,,,,,,,,,,,,,,,,,,,,
2024-06-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16 00:00:00,,,,,,,,,,,,,,,,,,147,117,,,,,
2024-06-17 00:00:00,,,,,,,,,,,,,,,,,,471,255,,,,,
2024-06-18 00:00:00,,,,,,,,,,,,,,,,,,620,399,,,,,
2024-06-19 00:00:00,,,,,,,,,,,,,,,,,,536,317,,,,,
2024-06-20 00:00:00,,,,,,,,,,,,,,,,,,550,343,,,,,
2024-06-21 00:00:00,,,,,,,,,,,,,,,,,,3965,359,,,,,
2024-06-22 00:00:00,,,,,,,,,,,,,,,,,,520,121,,,,,
2024-06-23 00:00:00,,,,,,,,,,,,,,,,,,332,256,,,,,
2024-06-24 00:00:00,,,,,,,,,,,,,,,,,,607,399,,,,,
2024-06-25 00:00:00,,,,,,,,,,,,,,,,,,567,453,,,,,
2024-06-26 00:00:00,,,,,,,,,,,,,,,,,,613,318,,,,,
2024-06-27 00:00:00,,,,,,,,,,,,,,,,,,565,435,,,,,
2024-06-28 00:00:00,,,,,,,,,,,,,,,,,,639,538,,,,,
2024-06-29 00:00:00,,,,,,,,,,,,,,,,,,783,498,,,,,
2024-06-30 00:00:00,,,,,,,,,,,,,,,,,,282,261,,,,,
2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,509,346,,,,,
2024-07-02 00:00:00,,,,,,,,,,,,,,,,,,384,354,,,,,
2024-07-03 00:00:00,,,,,,,,,,,,,,,,,,412,285,,,,,
2024-07-04 00:00:00,,,,,,,,,,,,,,,,,,516,443,,,,,
2024-07-05 00:00:00,,,,,,,,,,,,,,,,,,478,563,,,,,
2024-07-06 00:00:00,,,,,,,,,,,,,,,,,,388,374,,,,,
2024-07-07 00:00:00,,,,,,,,,,,,,,,,,,331,369,,,,,
2024-07-08 00:00:00,,,,,,,,,,,,,,,,,,336,324,,,,,
2024-07-09 00:00:00,,,,,,,,,,,,,,,,,,338,384,,,,,
2024-07-10 00:00:00,,,,,,,,,,,,,,,,,,429,321,,,,,
