Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
Tue 7th May 2024,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,
Wed 8th May 2024,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,
Thu 9th May 2024,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,
Fri 10th May 2024,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,
Sat 11th May 2024,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,
Sun 12th May 2024,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,
Mon 13th May 2024,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,
Tue 14th May 2024,,,,,,,,,,,,,737,115,,,,,,,,,,,,,,,,,,
Wed 15th May 2024,,,,,,,,,,,,,952,210,,,,,,,,,,,,,,,,,,
Thu 16th May 2024,,,,,,,,,,,,,1145,208,,,,,,,,,,,,,,,,,,
Fri 17th May 2024,,,,,,,,,,,,,1121,161,,,,,,,,,,,,,,,,,,
Sat 18th May 2024,,,,,,,,,,,,,1044,111,,,,,,,,,,,,,,,,,,
Sun 19th May 2024,,,,,,,,,,,,,991,131,,,,,,,,,,,,,,,,,,
Mon 20th May 2024,,,,,,,,,,,,,244,121,,,,,709,1535,,,,,,,,,,,,
Tue 21st May 2024,,,,,,,,,,,,,,,,,,,1006,1881,,,,,,,,,,,,
Wed 22nd May 2024,,,,,,,,,,,,,,,,,,,1252,2146,,,,,,,,,,,,
Thu 23rd May 2024,,,,,,,,,,,,,,,,,,,978,2284,,,,,,,,,,,,
Fri 24th May 2024,,,,,,,,,,,,,,,,,,,1240,1994,,,,,,,,,,,,
Sat 25th May 2024,,,,,,,,,,,,,,,,,,,765,2019,,,,,,,,,,,,
Sun 26th May 2024,,,,,,,,,,,,,,,,,,,770,2366,,,,,,,,,,,,
Mon 27th May 2024,,,,,,,,,,,9,,,,,,,,162,128,,,,,,,,12203,,,,
Tue 28th May 2024,,,,,,,,,,,32,,,,,,,,,,,,,,,,,1659,,,,
Wed 29th May 2024,,,,,,,,,,,32,,,,,,,,,,,,,,,,,299,,,,
Thu 30th May 2024,,,,,,,,,,,36,,,,,,,,,,,,,,,,,257,,,,
Fri 31st May 2024,,,,,,,,,,,26,,,,,,,,,,,,,,,,,289,,,,
Sat 1st Jun 2024,,,,,,,,,,,8,,,,,,,,,,,,,,,,,181,,,,
Sun 2nd Jun 2024,,,,,,,,,,,23,,,,,,,,,,,,,,,,,259,,,,
Mon 3rd Jun 2024,,,,,,,,,,,24,,,,,,,,,,,,,,,,,398,,,,
Tue 4th Jun 2024,,,4930,2994,,,,,,,21,,,,,,,,,,,,,,,,,133,,,,
Wed 5th Jun 2024,,,5699,3562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 6th Jun 2024,,,4783,3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 7th Jun 2024,,,5550,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 8th Jun 2024,,,4939,4532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 9th Jun 2024,,,5162,4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 10th Jun 2024,,,4353,3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 11th Jun 2024,,,428,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 12th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 13th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 14th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 15th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 16th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,147,117,,,,,
Mon 17th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,471,255,,,,,
Tue 18th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,620,399,,,,,
Wed 19th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,536,317,,,,,
Thu 20th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,550,343,,,,,
Fri 21st Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,3965,359,,,,,
Sat 22nd Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,520,121,,,,,
Sun 23rd Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,332,256,,,,,
Mon 24th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,607,399,,,,,
Tue 25th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,567,453,,,,,
Wed 26th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,613,318,,,,,
