Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
Wed 20th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 21st Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 22nd Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 23rd Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 24th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 25th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 26th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 27th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 28th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 29th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,5174,,,,,,,,,
Sat 30th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,6993,,,,,,,,,
Sun 1st Dec 2024,,,,,,,,,,,,,,,,,,,,,,,5949,,,,,,,,,
Mon 2nd Dec 2024,,,,,,,,,,,,,,,,,,,,,,,2923,,,,,,,,,
Tue 3rd Dec 2024,,,,,,,,,,,,,,,,,,,,,,,6351,,,,,,,,,
Wed 4th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,6291,,,,,,,,,
Thu 5th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,6136,,,,,,,,,
Fri 6th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,7159,,,,,,,,,
Sat 7th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,,
Sun 8th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 9th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 10th Dec 2024,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,
Wed 11th Dec 2024,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,
Thu 12th Dec 2024,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,
Fri 13th Dec 2024,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,
Sat 14th Dec 2024,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,
Sun 15th Dec 2024,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,
Mon 16th Dec 2024,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,
Tue 17th Dec 2024,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,
Wed 18th Dec 2024,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,
Thu 19th Dec 2024,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,
Fri 20th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 21st Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 22nd Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 23rd Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 24th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 25th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 26th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 27th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 28th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 29th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 30th Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 31st Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 1st Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 2nd Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 3rd Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 4th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 5th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 6th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 7th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 8th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 9th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 10th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 11th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 12th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 13th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 14th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 15th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 16th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 17th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 18th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 19th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 20th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 21st Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 22nd Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 23rd Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 24th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 25th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 26th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 27th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 28th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 29th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 30th Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 31st Jan 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 1st Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 2nd Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 3rd Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 4th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 5th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 6th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 7th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 8th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 9th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 10th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 11th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 12th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 13th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 14th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 15th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 16th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 17th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 18th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 19th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 20th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 21st Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 22nd Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 23rd Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 24th Feb 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 25th Feb 2025,,,,,,155,279,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 26th Feb 2025,,,,,,155,355,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 27th Feb 2025,,,,,,233,361,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 28th Feb 2025,,,,,,846,349,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 1st Mar 2025,,,,,,0,265,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 2nd Mar 2025,,,,,,0,313,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 3rd Mar 2025,,,,,,0,357,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 4th Mar 2025,,,,,,99,301,138,,,,,,,,,,,,,,,,,,,,,,,,
Wed 5th Mar 2025,,,,,,,382,220,,,,,,,,,,,,,,,,,,,,,,,,
Thu 6th Mar 2025,,,,,,,344,210,,,,,,,,,,,,,,,,,,,,,,,,
Fri 7th Mar 2025,,,,,,,372,250,,,,,,,,,,,,,,,,,,,,,,,,
Sat 8th Mar 2025,,,,,,,330,168,,,,,,,,,,,,,,,,,,,,,,,,
Sun 9th Mar 2025,,,,,,,298,148,,,,,,,,,,,,,,,,,,,,,,,,
Mon 10th Mar 2025,,,,,,,366,279,,,,,,,,,,,,,,,,,,,,,,,,
Tue 11th Mar 2025,,,,,,,284,159,,,,,,,,,,,,,,,,,,,,,,,,
Wed 12th Mar 2025,,,,,,,366,261,,,,,,,,,,,,,,,,,,,,,,,,
Thu 13th Mar 2025,,,,,,,348,236,,,,,,,,,,,,,,,,,,,,,,,,
Fri 14th Mar 2025,,,,,,,297,244,,,,,,,,,,,,,,,,,,,,,,,,
Sat 15th Mar 2025,,,,,,,264,201,,,,,,,,,,,,,,,,,,,,,,,,
Sun 16th Mar 2025,,,,,,,55,24,,,,,,,,,,,,,,,,,,,,,,,,
Mon 17th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 18th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 19th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 20th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 21st Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 22nd Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 23rd Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 24th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 25th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 26th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 27th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 28th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 29th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 30th Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 31st Mar 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 1st Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 2nd Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 3rd Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 4th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 5th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 6th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 7th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 8th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 9th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 10th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 11th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 12th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 13th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 14th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 15th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 16th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 17th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 18th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 19th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 20th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 21st Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 22nd Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 23rd Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 24th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 25th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 26th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 27th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 28th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 29th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 30th Apr 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 1st May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 2nd May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 3rd May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 4th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 5th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 6th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 7th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 8th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 9th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 10th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 11th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 12th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 13th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 14th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 15th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 16th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 17th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 18th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 19th May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 20th May 2025,,,,,,,,,,,,,,,,,51,90,,,,,,,,,,,,,,
Wed 21st May 2025,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,
